ACTDT,YEAR,YR_QTR,ACTION,APP_NO,FM,NUMBER,STREET,ST_TYPE,BLOCK,LOT,BLOCKLOT,DESCRIPT,EXT_USE,PROP_USE,AFF_HSG,AFF_TARGET,UNITS,NETUNITS,planning_district_number,planning_district,supervisor_district,analysis_neighborhood,the_geom
2007/09/12,2007,2007_Q3,CFC ISSUED,200607106040,3,725,PINE,ST,0272,001C,0272001C,"CHANGE OF USE. OCCUPANCY CLASSIFICATION REMAINING ""R-1"". REMODEL TOURIST HOTEL 20 ROOMS TO BE 22 DWELLING UNITS. EXISTING TOURIST ROOMS HAVE FULL KITCHENS ALREADY. P/A ON SEPARATE APP.",TOURIST HOTEL/ MOTEL,APARTMENTS,2,MOD,22,22,3,Northeast,3,Nob Hill,"(37.791018754287, -122.407709924995)"
2014/01/27,2014,2014_Q1,CFC ISSUED,201211134097,3,710,COLE,ST,1252,046,1252046,CONVERT ART STUDIO TO A STUDIO APARTMENT AT LOWER FLOOR LEVEL.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,6,Buena Vista,5,Haight Ashbury,"(37.768346907699, -122.450197529317)"
2013/03/29,2013,2013_Q1,COMPLETE,201203065502,2,1654,CHESTNUT,ST,0482,014,0482014,,,2 FAMILY DWELLING,0,,2,2,2,Marina,2,Marina,"(37.801825109319, -122.430622055516)"
2010/12/10,2010,2010_Q4,CFC ISSUED,201008189075,8,3841,23RD,ST,3651,036,3651036,"TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER APP# 200810234879. ALL WORK IS COMPLETE. CONVERT (E) 2 UNIT BUILDING TO 3 UNIT. (E) BASEMENT TO BE CONVERTED TO ONE BEDROOM APARTMENT. ADD KITCHEN, ONE WINDOW AND REMOVE AND INFILL (E) INTERIOR STAIRS",2 FAMILY DWELLING,APARTMENTS,1,SEC,3,1,7,Central,8,Noe Valley,"(37.753062090263, -122.428551112567)"
2007/09/24,2007,2007_Q3,PRE-FINAL,200210280036,2,320,ALEMANY,BL,5817,012,5817012,TO ERECT 4 STORIES OF 3 DWELLING UNITS WITH PKG,,APARTMENTS,0,,3,3,11,Bernal Heights,9,Bernal Heights,"(37.734267775763, -122.412358271088)"
2007/11/09,2007,2007_Q4,CFC ISSUED,200607318089,2,1403,HUDSON,AV,4710,056,4710056,"TO ERECT 2 STORIES, SINGLE FAMILY RESIDENTIAL BUILDING.",,1 FAMILY DWELLING,0,,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.737760067105, -122.384763941898)"
2013/06/26,2013,2013_Q2,CFC ISSUED,201206072100,8,605,KEARNY,ST,0226,007,0226007,,RETAIL SALES,1 FAMILY DWELLING,0,,1,1,3,Northeast,3,Chinatown,"(37.793714477719, -122.404837340938)"
2007/04/19,2007,2007_Q2,CFC ISSUED,200411048581,2,1223,BOSWORTH,ST,6706,033A,6706033A,ERECT THREE STORIES OF ONE SINGLE FAMILY DWELLING.,,1 FAMILY DWELLING,0,,1,1,13,Ingleside,7,West of Twin Peaks,"(37.735439032933, -122.441152196145)"
2009/03/17,2009,2009_Q1,TCO ISSUED,200505112126,1,325,CHINA BASIN,ST,8720,001,8720001,ERECT A 9 STORIES 98 DWELLING RESIDENTIAL CONDOS. RADIANCE AT MISSION BAY,,APARTMENTS,0,,98,98,9,South of Market,6,Mission Bay,"(37.771628307906, -122.388109791362)"
2012/02/08,2012,2012_Q1,CFC ISSUED,200712110197,3,206,CLINTON,PK,3534,005,3534005,TO EXPAND EXISTING REAR YARD ONE STORY DETACHED STRUCTURE. TO ADD ONE RESIDENTIAL UNIT VERTICALLY ABOVE THE EXISTING GARAGE.,PRKNG GARAGE/PRIVATE,1 FAMILY DWELLING,0,,1,1,8,Mission,8,Mission,"(37.769195151592, -122.424887979713)"
2007/09/28,2007,2007_Q3,CFC ISSUED,200506034122,2,515,VALLEY,ST,7536,033,7536033,TO ERECT 3 STORIES SINGLE FAMILY DWELLING.,,1 FAMILY DWELLING,0,,1,1,7,Central,8,Noe Valley,"(37.743890902288, -122.433706745063)"
2012/10/01,2012,2012_Q4,COMPLETE,201110187017,8,1492,JACKSON,ST,0185,020,0185020,"FIRE SPRINKERL SYSTEM, TOTAL OF 71 SPRIINKLER HEADS, REF PA #200902051426.",2 FAMILY DWELLING,APARTMENTS,1,SEC,3,1,3,Northeast,3,Russian Hill,"(37.794576758949, -122.419571017195)"
2007/08/24,2007,2007_Q3,CFC ISSUED,200308293517,2,848,PERALTA,AV,5690,009,5690009,TO ERECT 2 STORY SINGLE FAMILY HOME,,1 FAMILY DWELLING,0,,1,1,11,Bernal Heights,9,Bernal Heights,"(37.739004050429, -122.409146303196)"
2006/06/07,2006,2006_Q2,CFC ISSUED,200212103210,3,1509,TARAVAL,ST,2400,043,2400043,PROPOSED HORIZONTAL AND VERTICAL ADDITION TO AN (E) COMMERCIAL SPACE TO ACCOMMODATE 3 CONDOS AND,SCHOOL,APARTMENTS,0,,3,3,15,Outer Sunset,4,Sunset/Parkside,"(37.742513269906, -122.482394200591)"
2015/05/11,2015,2015_Q2,COMPLETE,200805232798,2,838,KANSAS,ST,4093,007,4093007,ERECT A 4 STORIES 2 FAMILY DWELLING.,2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,2,9,South of Market,10,Potrero Hill,"(37.759045486413, -122.403318174505)"
2005/02/07,2005,2005_Q1,FINAL INSPECT/APPRVD,200212093108,6,542,08TH,AV,1550,040,1550040,DEMOLISH,,,0,,0,-1,1,Richmond,1,Inner Richmond,"(37.778192191478, -122.465912047016)"
2013/05/15,2013,2013_Q2,PRE-FINAL,201302200536,8,1816,EDDY,ST,1127,064,1127064,,VACANT LOT,APARTMENTS,0,,19,19,5,Western Addition,5,Western Addition,"(37.78097262545, -122.437704715844)"
2006/06/12,2006,2006_Q2,PRE-FINAL,200312081855,2,1,ESPLANADE,,3546,002,3546002,ERECT A 4 STORY 45 DWELLING UNIT BLDG.,,APARTMENTS,45,VLI,45,45,8,Mission,8,Mission,"(37.767102921139, -122.423223082477)"
2008/01/03,2008,2008_Q1,CFC ISSUED,200701192121,8,1105,CASTRO,ST,3655,031,3655031,"RENEW PA: 200406035463 SP. INSP REQD, 200508230979 AND 200512079803 TO CONTINUE WORK.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Noe Valley,"(37.752721846464, -122.433908904897)"
2009/06/23,2009,2009_Q2,CFC ISSUED,200905279223,8,221,RANDALL,ST,6664,057,6664057,ENLARGE EXISTING 1 CAR GARAGE TO NEW 2 CAR GARAGE. CONVERT EXISTING BASEMENT (LOWER FLOOR) INTO NEW IN-LAW UNIT. (TOTAL 630.36 SQ FT).  RENEW PA# 200611178082 TO OBTAIN FINAL INSPECTION. ALL WORK HAS BEEN COMPLETED.,1 FAMILY DWELLING,1 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Glen Park,"(37.739649081546, -122.428357391665)"
2008/11/19,2008,2008_Q4,CFC ISSUED,200703136152,3,4658,18TH,ST,2658,018,2658018,VERTICAL AND HORIZONTAL ADDITION TO TURN 1-UNIT TO 2 UNIT RESIDENTIAL. REMOVE REAR YARD STRUCTURE.,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Castro/Upper Market,"(37.760652830406, -122.442472972004)"
2007/01/31,2007,2007_Q1,CFC ISSUED,200206260052,2,171,BEAVER,ST,2614,087,2614087,ERECT 3 STORY TWO FAMILY  DWELLING UNITS,,2 FAMILY DWELLING,0,,2,2,6,Buena Vista,8,Castro/Upper Market,"(37.765283037781, -122.437019237756)"
2011/05/13,2011,2011_Q1,CFC ISSUED,201003117984,3,1562,DOLORES,ST,6618,004,6618004,Convert (E) garage/First floor into second dwelling unit. Add 2' x 9' horizontal extension at first floor. (18 SQ. FT.),1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Noe Valley,"(37.744287343058, -122.424822772964)"
2015/05/28,2015,2015_Q2,COMPLETE,201211284966,2,121,HABITAT,TR,7148,067,7148067,"TO ERECT 3 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING.121 HABITAT TERRACE.",1 FAMILY DWELLING,1 FAMILY DWELLING,1,MOD,1,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.710895012931, -122.459826772111)"
2005/12/31,2005,2005_Q4,OK,200204244854,2,3264,MARKET,ST,2704,010A,2704010A,ERECT A T,,,0,,0,2,7,Central,8,Castro/Upper Market,"(37.758606274022, -122.445051627635)"
2010/04/12,2010,2010_Q2,CFC ISSUED,200711198535,3,1357,MCALLISTER,ST,0778,015,0778015,Legalize 4th unit at ground floor. THERE IS NO WORK TO BE DONE. THE (E) UNIT WILL BECOME THE 4TH DWELLING UNIT.,APARTMENTS,APARTMENTS,1,SEC,4,1,5,Western Addition,5,Western Addition,"(37.778027743703, -122.434305689799)"
2013/03/05,2013,2013_Q1,CFC ISSUED,201301117763,8,1335,05TH,AV,1760,009,1760009,,2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,-1,14,Inner Sunset,5,Inner Sunset,"(37.763525634988, -122.462324092663)"
2007/12/28,2007,2007_Q4,PRE-FINAL,200504200401,2,1300,EDDY,ST,0733,002,0733002,BLDG #13 - TO ERECT 3 STORIES OF 1 FAMILY DWELLING.,,1 FAMILY DWELLING,0,,1,1,5,Western Addition,5,Western Addition,"(37.782066986442, -122.429620729525)"
2007/12/04,2007,2007_Q4,CFC ISSUED,200509304416,2,208,HEAD,ST,7135,021,7135021,TO ERECT 3 STORIES OF 1 FAMILY DWELLING BUILDING.,,1 FAMILY DWELLING,0,,1,1,13,Ingleside,7,Oceanview/Merced/Ingleside,"(37.711150325917, -122.464103488265)"
2005/08/15,2005,2005_Q3,CFC ISSUED,200207151437,2,109,LOBOS,ST,7104,054,7104054,ERECT A T,,,0,,0,1,13,Ingleside,11,Oceanview/Merced/Ingleside,"(37.7146755565, -122.456572015429)"
2006/01/19,2006,2006_Q1,CFC ISSUED,200311069583,3,1609,REVERE,AV,5342,001B,5342001B,HORIZONTAL AND VERTICAL ADDITION & CHANGE OF OCCUPANCY,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,10,South Bayshore,10,Bayview Hunters Point,"(37.731577261286, -122.390553506412)"
2006/08/31,2006,2006_Q3,PRE-FINAL,200312081850,2,91,ESPLANADE,,3546,002,3546002,ERECT A 3 STORY 14 DWELLING UNIT BLDG.,,APARTMENTS,14,VLI,14,14,8,Mission,8,Mission,"(37.767102921139, -122.423223082477)"
2007/10/04,2007,2007_Q4,FINAL INSPECT/ APPRVD,200103023320,1,235,BERRY,ST,8708,005,8708005,"ERECT 7 STORIES OF 106 DWELLING UNITS, RESIDENTIAL, PKG, RETAIL; REVISED TO INCLUDE ONLY 99 UNITS DOWN FROM 106",,APARTMENTS,0,,99,99,9,South of Market,6,Mission Bay,"(37.774708007058, -122.39410260612)"
2007/10/04,2007,2007_Q4,CFC ISSUED,200504140028,2,1234,HOWARD,ST,3728,014,3728014,"TO ERECT 5 STORIES, 18 DWELLING RESIDENTIAL UNITS.",,APARTMENTS,2,MOD,18,18,4,Downtown,6,South of Market,"(37.776000038848, -122.412519759478)"
2009/04/24,2009,2009_Q1,CFC ISSUED,200509284197,2,2949,18TH,ST,4021,001,4021001,"ERECT 5 STORY 117 DWELLING/COMMERCIAL BUILDING, MOSAICA 601 PROJECT",,APARTMENTS,117,VLI,117,117,8,Mission,9,Mission,"(37.761038665069, -122.411519178152)"
2005/12/16,2005,2005_Q4,FINAL INSPECT/APPRVD,200506306530,6,0,INNES,AV,4591A,076,4591A076,TO DEMOLI,,,0,,0,-1,10,South Bayshore,10,Bayview Hunters Point,"(37.727475093328, -122.367753991638)"
2014/02/26,2014,2014_Q1,FINAL INSPECT/APPRVD,201401106069,6,5,NAPLES,ST,5948,026B,5948026B,"EMERGENCY ORDER 106028, DEMO TWO STORY SINGLE FAMILY HOUSE.",1 FAMILY DWELLING,,0,,-1,-1,12,South Central,11,Excelsior,"(37.728352988398, -122.425208939962)"
2006/11/30,2006,2006_Q4,COMPLETE,200011044925,3,150,POWELL,ST,0327,022,0327022,REMODEL (E) BLDG/VERTICAL AND HORIZONTAL ADDITION-SEISMIC UPGRADE NEW ELECTRICAL NEW MECHANICAL,RETAIL SALES,APARTMENTS,3,MOD,45,29,4,Downtown,3,Financial District/South Beach,"(37.786193558945, -122.407646201475)"
2009/03/02,2009,2009_Q1,CFC ISSUED,200702164407,1,868,MINNESOTA,ST,4106,027,4106027,"HOMES ON ESPRIT PARK.  ERECT 6 STORIES, 15 UNITS DWELLING RESIDENTIAL UNITS.",,APARTMENTS,0,,15,15,9,South of Market,10,Potrero Hill,"(37.759694173868, -122.390879683358)"
2009/03/17,2009,2009_Q1,CFC ISSUED,200509092487,2,70,CARR,ST,5462,018,5462018,ERECT A NEW 3 STORY 1 DWELLING UNIT BUILDING.,,1 FAMILY DWELLING,0,,1,1,10,South Bayshore,10,Bayview Hunters Point,"(37.721465094769, -122.397371489378)"
2013/11/14,2013,2013_Q4,COMPLETE,200805232796,6,838,KANSAS,ST,4093,007,4093007,,1 FAMILY DWELLING,,0,,-1,-1,9,South of Market,10,Potrero Hill,"(37.759045486413, -122.403318174505)"
2014/02/06,2014,2014_Q1,COMPLETE,200701051074,2,246,RITCH,ST,3776,092,3776092,TO ERECT A NEW 5 STORY 19 DWELLING UNIT,,APARTMENTS,0,FEE,19,19,9,South of Market,6,South of Market,"(37.780223807487, -122.395829532339)"
2013/05/09,2013,2013_Q2,CFC ISSUED,201301047219,8,247,THERESA,ST,6780,010,6780010,,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,12,South Central,11,Outer Mission,"(37.729929695705, -122.436283365177)"
2005/05/18,2005,2005_Q2,CFC ISSUED,200104126709,2,535,33RD,AV,1511,006,1511006,TO ERECT,,,0,,0,2,1,Richmond,1,Outer Richmond,"(37.778939833264, -122.493595579472)"
2011/03/11,2011,2011_Q4,CFC ISSUED,200703277415,2,1011,TENNESSEE,ST,4108,003G,4108003G,TO ERECT A NEW 4 STORY 3 DWELLING UNIT,,APARTMENTS,0,,3,3,9,South of Market,10,Potrero Hill,"(37.759114681421, -122.389063182601)"
2015/03/12,2015,2015_Q1,CFC ISSUED,201406108005,1,6534,03RD,ST,5475,007,5475007,TO COMPLETE WORK AND OBTAIN FINAL INSPECTION FOR WORK APPROVED P/A#200507066945.,2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,2,10,South Bayshore,10,Bayview Hunters Point,"(37.719173211682, -122.397664658535)"
2015/03/12,2015,2015_Q1,COMPLETE,201403241473,8,1434,07TH,AV,1847,042,1847042,REMOVE ILLEGAL KITCHEN AND CONVERT HALF BATH ROOM INTO FULL BATHROOM. ALL WORK AT GROUND FLOOR.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,14,Inner Sunset,5,Inner Sunset,"(37.761596908462, -122.463678823147)"
2008/10/07,2008,2008_Q4,CFC ISSUED,200608099053,2,2917,LAGUNA,ST,0531,005,0531005,"ERECT ONE 4-STORY, 2 UNIT RESIDENTIAL STRUCTURE.",,2 FAMILY DWELLING,0,,2,2,2,Marina,2,Marina,"(37.798178921101, -122.431026491458)"
2007/03/02,2007,2007_Q1,CFC ISSUED,200412141425,2,157,DARTMOUTH,ST,5932,038,5932038,"ERECT A THREE STORY, ONE UNIT DWELLING",,1 FAMILY DWELLING,0,,1,1,12,South Central,9,Portola,"(37.728553402671, -122.412413456061)"
2011/08/16,2011,2011_Q3,FINAL INSPECT/APPRVD,9605515,6,1575,20TH,AV,1866,015,1866015,DEMOLITION OF 2 STORY 2 FAMILY DWELLING,2 FAMILY DWELLING,,0,,-2,-2,15,Outer Sunset,4,Sunset/Parkside,"(37.758395168718, -122.47818074323)"
2005/10/04,2005,2005_Q4,CFC ISSUED,200410207333,3,131,MANGELS,AV,6765,046,6765046,INTERIOR,,,0,,0,-1,13,Ingleside,8,West of Twin Peaks,"(37.73287793302, -122.440512672417)"
2013/05/01,2013,2013_Q2,COMPLETE,200903184367,2,999,SUTTER,ST,0300,012,0300012,,,APARTMENTS,0,,3,3,4,Downtown,3,Nob Hill,"(37.78800043356, -122.416575798288)"
2005/02/07,2005,2005_Q1,TCO ISSUED,200208224729,2,522,CARTER,ST,6428,008,6428008,ERECT A 3,,,101,VLI,0,101,12,South Central,10,Excelsior,"(37.708915595613, -122.424561515903)"
2007/08/27,2007,2007_Q3,FINAL INSPECT/ APPRVD,200705080721,6,1636,DIAMOND,ST,7520,006,7520006,TO DEMOLISH 1 STORY SINGLE FAMILY DWELLING,1 FAMILY DWELLING,,0,,-1,-1,7,Central,8,Noe Valley,"(37.744196177248, -122.435874788241)"
2010/04/16,2010,2010_Q2,CFC ISSUED,200711017060,2,3400,CESAR CHAVEZ,ST,6569,052,6569052,BUILD A NEW 4 STORIES 60 DWELLING UNITS WITH COMMERCIAL; MIXED USE. 2 Stu 27 1-BR 26 2-BR 3 3-BR  AKA 555 BARTLETT,,APARTMENTS,9,MOD,60,58,8,Mission,9,Mission,"(37.748603189719, -122.418444863923)"
2005/08/11,2005,2005_Q3,CFC ISSUED,200107314966,3,1,POWELL,ST,0330,005,0330005,SITE PERM,,,4,LI,40,44,4,Downtown,3,Tenderloin,"(37.784691409703, -122.408133723626)"
2005/12/15,2005,2005_Q4,CFC ISSUED,200508180679,8,2266,VALLEJO,ST,0557,011,0557011,RENEW FOR,,,0,,0,-1,2,Marina,2,Marina,"(37.795577545394, -122.434651106701)"
2007/12/28,2007,2007_Q4,PRE-FINAL,200504200401,2,1300,EDDY,ST,0733,002,0733002,BLDG #6 - TO ERECT 3 STORIES OF 1 FAMILY DWELLING.,,1 FAMILY DWELLING,0,,1,1,5,Western Addition,5,Western Addition,"(37.782066986442, -122.429620729525)"
2015/09/11,2015,2015_Q3,COMPLETE,201508134162,8,1308,TAYLOR,ST,0190,011,0190011,INSTALL 17 SPRINKLERS ON GROUND FLOOR PER NFPA13-R AND UNDERGROUND PER NFPA#24. T. #201501307095,APARTMENTS,APARTMENTS,1,SEC,4,1,3,Northeast,3,Nob Hill,"(37.794557288711, -122.412758812766)"
2005/11/22,2005,2005_Q4,FINAL INSPECT/APPRVD,200109218986,6,112,29TH,ST,6617,047,6617047,DEMOLISH,,,0,,0,-1,7,Central,8,Noe Valley,"(37.744168422526, -122.423075114545)"
2015/01/30,2015,2015_Q1,COMPLETE,201312315312,2,88,SUMMIT,WY,7331,005,7331005,ERECT THREE STORY TWO UNIT FAMILY DWELLING. REF. PA #201312315312.,2 FAMILY DWELLING,2 FAMILY DWELLING,0,,2,2,13,Ingleside,7,Lakeshore,"(37.714819447618, -122.4747789585)"
2014/07/22,2014,2014_Q3,COMPLETE,201104224606,1,185,CHANNEL,ST,8711,023,8711023,"TO ERECT 8 STORIES, 315 UNITS RESIDENTIAL, RETAIL, PARKING BUILDING.",,APARTMENTS,0,,315,315,9,South of Market,6,Mission Bay,"(37.774078313686, -122.390679841758)"
2009/11/23,2009,2009_Q4,FINAL INSPECT/APPRVD,200611308857,6,440,35TH,AV,1466,034,1466034,"DEMOLISH 2-STORY, SINGLE FAMILY DWELLING.",1 FAMILY DWELLING,,0,,0,-1,1,Richmond,1,Outer Richmond,"(37.780765738219, -122.495218784923)"
2013/03/28,2013,2013_Q1,CFC ISSUED,201208298493,3,351,17TH,AV,1449,011,1449011,,1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,1,Richmond,1,Outer Richmond,"(37.781432443084, -122.47657816699)"
2005/06/23,2005,2005_Q2,CFC ISSUED,200101220331,2,1120,NAPLES,ST,6482,045,6482045,ERECT A F,,,0,,0,3,12,South Central,11,Excelsior,"(37.713258205064, -122.437191863487)"
2009/12/10,2009,2009_Q4,CFC ISSUED,200805061361,3,977,DOLORES,ST,3631,019,3631019,"MERGE 2 OF 3 DWELLING UNITS, DEMOLISH (E) DEMISING WALL BETWEEN STAIR TO 3RD FLOOR UNIT AND (E) ENTRY TO 2ND FLOOR UNIT, DEMOLISH (E) 3RD FLOOR KITCHEN AND CONVERT IT TO BEDROOM, CONVERT (E) UTILITY ROOM AT 3RD FLOOR TO BE A CLOSET.",APARTMENTS,2 FAMILY DWELLING,0,,2,-1,8,Mission,8,Mission,"(37.753819467717, -122.424944288537)"
2015/04/21,2015,2015_Q2,COMPLETE,201501054884,8,449,PAUL,AV,5465,049,5465049,TO COMPLY WITH NOV 201406881. REMOVE STOVE FROM LAUNDRY ROOM. ALL ROOMS ON GROUND FLOOR LEGALIZED ON APP# 201107059446.,1 FAMILY DWELLING,1 FAMILY DWELLING,0,,1,-1,10,South Bayshore,10,Bayview Hunters Point,"(37.723220389487, -122.399776838348)"
2013/09/03,2013,2013_Q3,COMPLETE,201307252818,8,1340,NATOMA,ST,3548,065,3548065,,,APARTMENTS,0,,3,3,8,Mission,9,Mission,"(37.76766846095, -122.418701994976)"
2012/10/04,2012,2012_Q4,PRE-FINAL,201005202906,3,76,DIAMOND,ST,2649,013,2649013,"REBUILD FRONT STAIR TO ACCOMODATE NEW GARAGE DOOR. REMOVE 82 SQ. FT. FROM SOUTHWEST CORNER OF HOUSE, PATCH TO MATCH (E) EXTERIOR. EXCAVATE GROUND FLOOR FOR GARAGE & NEW UNIT. REMODEL UPPER FLOOR. REROOF.",1 FAMILY DWELLING,2 FAMILY DWELLING,1,SEC,2,1,7,Central,8,Castro/Upper Market,"(37.76113495586, -122.437567016566)"
2006/06/27,2006,2006_Q2,FINAL INSPECT/ APPRVD,200605020432,6,2005,19TH,ST,4073,039,4073039,TO DEMOLISH SINGLE FAMILY DWELLING,1 FAMILY DWELLING,,0,,1,-1,9,South of Market,10,Potrero Hill,"(37.760783094916, -122.402426569618)"
